gene_name	C1000g.1	C1000g.2	C1000g.3	C1000g.4	C1000g.5	C300g.1	C300g.2	C300g.3	C300g.4	C300g.5	Anc.1	Anc.2	Anc.3	Anc.4	Anc.5	Mmp.1	Mmp.2.3	Mmp.3.3	Mmp.4.3	Mmp.5.3
MMP_RS00670	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMP_RS00675	4670	3625	3420	3307	3492	5617	4894	6289	4160	4789	728	574	825	835	704	276	548	245	907	652
MMP_RS00680	1966	1759	1593	1452	1388	2890	2437	2938	2095	2310	5763	3511	2473	4515	1966	22	45	50	187	85
MMP_RS00685	85	59	61	38	45	158	122	97	88	91	548	414	397	472	380	0	10	7	7	0
MMP_RS00690	90	88	64	56	101	47	67	73	36	29	177	159	245	220	236	1	2	9	13	23
MMP_RS00695	18	46	0	18	39	33	18	19	5	4	104	160	130	105	78	0	6	13	20	0
MMP_RS00700	259	229	160	199	152	241	220	266	233	217	416	374	655	587	577	14	37	22	33	68
MMP_RS00705	34	35	33	20	0	71	26	25	27	27	84	93	110	125	113	0	3	0	5	0
MMP_RS00710	269	318	333	285	206	633	417	413	330	298	1012	829	911	969	779	11	32	12	70	151
MMP_RS00715	2952	2623	2069	1984	1772	2935	2474	2965	2661	2578	6488	4863	5687	6330	5285	40	97	44	284	240
MMP_RS00720	82	63	61	34	82	69	42	73	36	23	111	91	130	117	103	4	0	0	27	10
MMP_RS00725	300	229	249	222	262	172	183	223	87	121	413	231	400	368	367	31	38	15	113	12
MMP_RS00730	96	94	105	84	97	56	61	53	18	35	128	43	114	170	128	4	36	16	30	14
MMP_RS00735	3976	4379	3041	3815	2710	1839	1205	2682	1121	1222	74	55	156	208	141	355	777	370	1449	2257
MMP_RS00740	35	32	15	1	4	38	14	0	44	20	61	34	55	40	37	0	5	0	19	0
MMP_RS00745	273	164	204	159	195	356	323	372	228	317	877	729	890	869	784	11	5	8	57	12
MMP_RS00750	303	212	176	231	176	395	336	375	244	214	1452	1221	1390	1537	1299	12	22	4	55	25
MMP_RS00755	187	147	186	180	119	252	245	284	121	187	792	655	921	920	823	11	68	33	77	46
MMP_RS00760	442	322	297	287	247	603	579	585	488	416	3456	2376	2298	3215	2169	25	29	33	102	71
MMP_RS00765	1942	1585	1543	1245	1008	1891	1530	1736	1638	1471	9568	6301	5580	7999	5199	22	87	33	147	75
MMP_RS00770	42	11	38	21	63	70	62	80	48	41	86	66	136	113	112	0	0	2	6	7
MMP_RS00775	4017	3714	3461	3175	2420	3791	3450	4049	2543	2976	7795	5172	6880	8273	6627	75	220	92	552	181
MMP_RS00780	1230	1086	1015	897	684	1110	995	1098	711	770	4423	2908	3860	4603	4102	12	65	34	154	75
MMP_RS00785	1035	1002	956	828	639	1060	969	994	621	667	2637	1855	1599	2579	1505	11	88	24	87	30
MMP_RS00795	27835	25886	24408	21628	22208	36604	35932	34919	26721	32438	791	636	823	878	738	12	14	1	41	16
MMP_RS00800	11856	12990	10167	9665	10438	15918	15710	15711	13241	15221	757	496	725	754	652	58	100	38	156	179
MMP_RS00805	332	274	309	212	141	377	341	282	181	176	671	483	489	541	478	16	50	7	107	16
MMP_RS00810	1656	1487	1386	1216	1033	3290	2414	2684	1810	2268	7993	5556	8145	8800	8017	21	62	90	171	260
MMP_RS00815	1333	1013	1099	946	678	2141	1661	1719	1351	1568	5170	3532	4980	4898	4504	21	76	42	129	78
MMP_RS00820	133	119	119	72	71	155	155	114	43	69	568	329	451	404	372	4	5	12	26	20
MMP_RS00825	298	250	162	198	149	430	282	347	210	275	1226	913	761	1123	614	0	19	13	44	32
MMP_RS00830	360	387	308	389	290	673	632	697	459	453	1559	1036	1215	1523	983	26	57	48	134	129
MMP_RS00835	696	644	473	419	339	1006	808	991	662	730	2696	2034	2176	2537	1851	24	43	46	218	65
MMP_RS00840	406	353	254	231	230	554	452	559	503	492	1113	729	735	913	704	25	25	10	148	54
MMP_RS00845	5108	3738	4103	4318	2938	2887	3140	2661	1310	1703	828	649	577	787	578	66	101	26	198	265
MMP_RS00850	149	182	163	94	77	176	83	90	100	129	394	237	297	399	292	18	26	15	68	17
MMP_RS00855	2158	1773	1932	1765	1051	1665	1501	1361	962	1169	1715	1067	1857	1961	1911	5	8	16	27	11
MMP_RS00860	189	225	152	183	120	491	366	477	214	261	448	308	534	489	493	5	7	14	1	32
MMP_RS00865	2126	1422	1847	1755	1440	3266	3012	2567	1601	2123	3956	3002	4100	4613	4201	9	53	22	109	97
MMP_RS08930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMP_RS00870	3078	2808	2268	2565	2116	4308	3677	4069	3033	3346	7329	5849	9069	8662	8717	98	238	165	438	1504
MMP_RS00875	1162	1104	1041	873	682	1753	1295	1516	1245	1161	2876	2366	3289	3394	3199	13	87	23	178	251
MMP_RS00880	1210	1004	920	1034	727	1917	1349	1475	949	1217	3275	2428	3926	3597	3716	10	10	5	49	54
MMP_RS00885	3718	3503	3343	2966	2484	6131	5214	6285	4441	4559	13245	8677	12242	13310	12623	141	382	225	950	455
MMP_RS00890	1523	1532	1201	1292	1393	2289	2061	2454	1774	1764	4496	3070	3906	4879	4520	29	116	79	438	202
